Code,College,State,Annual Fee,Admission Fee,Annual hostel fee,Name,Address,University of Delhi,Session Start,Hostel type,Bond,Reimbursement,Days,Website,Other info
AN01,Andaman and Nicobar Islands Institute of Medical S,Andaman & Nicobar Islands,75100,116650,15600,ANIIMS,"Director, ANIIMS
DHS Annexe, Atlanta Point
Port Blair – 744 104",PUDDUCHERRY UNIVERSITY,01/09/2016,MALE AND FEMALE,Candidate need to Serve A & N Island for a period of one Year or else he/she has to pay a Rs. 1000000 for which candidate has to furnish bond. ,10000,30,www.aniims.org,www.aniims.org
AS01,"ASSAM MEDICAL COLLEGE, DIBRUGARH",ASSAM,4000,28000,6000,Assam Medical College,"Assam Medical College, Dibrugarh-786002 (Assam)",Srimanta Sankaradeva University of Health Sciences,01/08/2016,MALE AND FEMALE,An agreement is to be submitted during the time of final admission.,2800,30,www.assammedicalcollege.in,None
AS02,"GUWAHATI MEDICAL COLLEGE, GUWAHATI",ASSAM,22000,22000,1310,"Gauhati Medical College,","Narakachal Hill Top, Bhangaghar, Guwahati","Srimanta Sankaradeva University of Health Sciences, Assam",01/09/2016,MALE AND FEMALE,"There is no bond at Gauhati Medical College, Guwahati but it is a agreement.",2200,3,www.gmchassam.gov.in,Nil
AS03,"SILCHAR MEDICAL COLLEGE, SILCHER",ASSAM,22000,22000,18000,SILCHAR MEDICAL COLLEGE,"P.O.SILCHAR MEDICAL COLLEGE, GHUNGOOR, SILCHAR PIN - 788014, ASSAM","Srimanta Sankardeva University of Health Sciences, Guwahati, Date- 11th May 2010",01/09/2016,MALE AND FEMALE,N,0,2,www.smcassam.gov.in,Nil
AS04,"Jorhat Medical College and Hospital, JORHAT",ASSAM,27800,27800,5500,Jorhat Medical College & Hospital,"Kushal Konwar Path,Barbheta,P.O-Jorhat
Jail Road, Jorhat,Assam, India","Srimanta Sankardeva University of Health Sciences, 11/05/2010",01/09/2016,MALE AND FEMALE,N,4940,30,www.jmch.org.in,Nil
AS05,"Fakhruddin Ali Ahmed Medical College, Barpeta",ASSAM,23303,23303,22200,Fakhruddin Ali Ahmed Medical College,"Jania Road, Jotigaon, 
Barpeta, Assam",Srimanta Sankardeva University of Health Sciences with 06/08/2011,01/08/2012,MALE AND FEMALE,N,2330,3,www.faamcassam.co.in,Fees shown here are as per 2015 admission. Fees may change as notified by the Govt. of Assam.
AS06,"Tezpur Medical College, Tezpur",ASSAM,1200,27075,30000,Tezpur Medical College,"Bihaguri, Tezpur:-784010, Assam","Srimanta Sankaradeva University of Health Sciences, 20/08/2013",01/09/2014,MALE AND FEMALE,N,12338,7,www.tmcassam.org,Nil
BR01,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA",BIHAR,9700,9700,3600,ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,"SHERGHATI ROAD, GAYA, BIHAR","ARYABHATTA KNOWLEDGE UNIVERSITY,PATNA,BIHAR",01/08/2016,MALE AND FEMALE,N,8700,30,www.anmmc.in,"any information required plz contact princ_anmc@rediffmail.com 
After Re-allocation of seat to another institution only caution Money Rs. 1000/- refundable."
BR02,"Darbhanga Medical College, Laheriasarai",BIHAR,10000,10000,2000,Darbhanga Medical College,"Darbhanga Medical College,Laheriasarai, Darbhanga
P.O.- DMC, Laheriasarai,Darbhanga-846003",Aryabhatta Knowledge University,01/09/2016,MALE AND FEMALE,N,0,0,www.darbhangamedicalcollege.in,email-principaldmc202@gmail.com
BR03,"Jawaharlal Nehru Medical College, Bhagalpur",BIHAR,14700,14700,5200,"Jawaharlal Nehru Medical College, Bhagalpur","Sukhraj Roy Raj Path, Bhagalpur","Aryabhatta Knowledge University, Patna",01/08/2016,MALE AND FEMALE,N,1000,15,www.jlnmcbgp.org,NA
BR04,"NALANDA MEDICAL COLLEGE, PATNA",BIHAR,7000,12000,8200,Nalanda Medical College,"Old ByePass Road, Kankerbagh, Patna","Aryabhatta Knowledge University Patna, Bihar Date Sept. 2014",03/09/2016,MALE AND FEMALE,N,11000,15,www.nmchpatna.org,Classes will  Start from 03.09.2016
BR05,"PATNA MEDICAL COLLEGE, PATNA",BIHAR,6100,9500,7200,PATNA MEDICAL COLLEGE,ASHOK RAJPATH PATNA,ARYABHATTA KNOWLEDGE UNIVERSITY PATNA,01/08/2014,MALE AND FEMALE,N,8500,0,www.patnamedicalcollege.com,NA
BR06,"SRI KRISHNA MEDICAL COLLEGE, MUZAFFARPUR",BIHAR,9800,10000,3400,SRI KRISHNA MEDICAL COLLEGE,UMANAGAR MUZAFFARPUR BIHAR ,A K U PATNA 6/09/2011,01/08/2014,MALE AND FEMALE,N,9000,90,www.skmedicalcollege.in,NO
BR07,"Indira Gandhi Institute of Medical Sciences, Patna",BIHAR,40000,80000,12000,Indira Gandhi Institute of Medical Sciences Patna.,"Sheikhpura
Patna",IGIMS University,01/09/2016,MALE AND FEMALE,N,8000,20,www.igims.org,Candidate resigning after last date of sending vacancy list to the concerned authority will have to pay Fee of whole course 4.5 years (Rs.180000) along with penalty of Rs.500000 (5 Lac).
